Unnamed: 0,Area,Year,average_rain_fall_mm_per_year,avg_temp,Pesticide (tonnes),Item,hg/ha yield
0,Angola,1991,1010,24.02,79.0,Bananas,44256
1,Angola,1991,1010,24.02,79.0,"Beans, dry",2727
2,Angola,1991,1010,24.02,79.0,Cocoa beans,798
3,Angola,1991,1010,24.02,79.0,"Coffee, green",909
4,Angola,1991,1010,24.02,79.0,Maize (corn),4013
5,Angola,1991,1010,24.02,79.0,Potatoes,40000
6,Angola,1991,1010,24.02,79.0,Rice,10000
7,Angola,1991,1010,24.02,79.0,"Seed cotton, unginned",12000
8,Angola,1991,1010,24.02,79.0,Tomatoes,35962
9,Angola,1991,1010,24.02,79.0,Wheat,8000
10,Angola,1992,1010,23.96,23.0,Bananas,53719
11,Angola,1992,1010,23.96,23.0,"Beans, dry",2667
12,Angola,1992,1010,23.96,23.0,Cocoa beans,909
13,Angola,1992,1010,23.96,23.0,"Coffee, green",1000
14,Angola,1992,1010,23.96,23.0,Maize (corn),3778
15,Angola,1992,1010,23.96,23.0,Potatoes,40000
16,Angola,1992,1010,23.96,23.0,Rice,9142
17,Angola,1992,1010,23.96,23.0,"Seed cotton, unginned",12000
18,Angola,1992,1010,23.96,23.0,Tomatoes,36262
19,Angola,1992,1010,23.96,23.0,Wheat,8000
20,Angola,1993,1010,24.15,169.0,Bananas,66658
21,Angola,1993,1010,24.15,169.0,"Beans, dry",3913
22,Angola,1993,1010,24.15,169.0,Cocoa beans,773
23,Angola,1993,1010,24.15,169.0,"Coffee, green",1027
24,Angola,1993,1010,24.15,169.0,Maize (corn),2627
25,Angola,1993,1010,24.15,169.0,Potatoes,70000
26,Angola,1993,1010,24.15,169.0,Rice,8000
27,Angola,1993,1010,24.15,169.0,"Seed cotton, unginned",12000
28,Angola,1993,1010,24.15,169.0,Tomatoes,37268
29,Angola,1993,1010,24.15,169.0,Wheat,8862
30,Angola,1994,1010,24.04,25.5,Bananas,85177
31,Angola,1994,1010,24.04,25.5,"Beans, dry",5192
32,Angola,1994,1010,24.04,25.5,Cocoa beans,769
33,Angola,1994,1010,24.04,25.5,"Coffee, green",540
34,Angola,1994,1010,24.04,25.5,Maize (corn),2463
