Unnamed: 0,Area,Year,average_rain_fall_mm_per_year,avg_temp,Pesticide (tonnes),Item,hg/ha yield
1643,Mozambique,2013,1032,21.37,690.83,Maize (corn),6814
596,Ethiopia,1995,848,19.99,242.0,Maize (corn),13590
4648,South Africa,2017,495,21.31,26857.0,"Beans, dry",15211
1615,Mozambique,2010,1032,22.1,1189.02,"Coffee, green",8556
2687,Nigeria,2005,1150,27.16,24.75,Cocoa beans,3678
652,Ethiopia,2000,848,23.33,602.0,Potatoes,77000
1770,Nigeria,1991,1150,28.37,62.0,Potatoes,70213
2585,Nigeria,2004,1150,26.73,26.31,Wheat,10690
1421,Kenya,2018,630,16.91,1578.0,Maize (corn),17656
1872,Nigeria,1993,1150,26.7,62.0,"Seed cotton, unginned",5304
2865,Nigeria,2008,1150,26.41,12.04,Wheat,16563
4653,South Africa,2017,495,21.31,26857.0,Soya beans,22929
75,Angola,1998,1010,24.96,40.0,Potatoes,62872
3299,Nigeria,2014,1150,27.36,34.51,Maize (corn),17002
3001,Nigeria,2010,1150,27.21,11.49,Rice,18386
3673,Nigeria,2019,1150,27.12,22.13,Soya beans,9438
3248,Nigeria,2013,1150,27.12,27.94,"Coffee, green",12811
4937,Tanzania,2004,1071,26.34,1.0,Cocoa beans,7000
3678,Nigeria,2020,1150,27.25,22.13,"Coffee, green",12984
1612,Mozambique,2009,1032,21.7,914.98,Wheat,12500
2233,Nigeria,1998,1150,26.73,36.0,Soya beans,7364
3720,Nigeria,2020,1150,27.36,22.13,Potatoes,38286
1010,Ghana,2008,1187,26.98,359.46,Tomatoes,60426
1029,Ghana,2010,1187,27.57,1389.23,Soya beans,16056
2409,Nigeria,2000,1150,26.76,62.0,Maize (corn),13001
828,Ethiopia,2017,848,23.33,4128.1,Potatoes,139198
1244,Kenya,2001,630,16.1,1578.0,"Coffee, green",3041
96,Angola,2000,1010,24.41,40.0,Rice,13454
1744,Nigeria,1991,1150,26.12,62.0,Tomatoes,100000
4367,South Africa,2009,495,20.71,26857.0,Wheat,30475
4215,South Africa,2005,495,21.14,26857.0,Bananas,505045
621,Ethiopia,1997,848,26.22,383.0,"Seed cotton, unginned",10833
566,Congo,2020,1646,24.41,0.87,Maize (corn),10000
3062,Nigeria,2011,1150,27.13,10.59,"Seed cotton, unginned",20715
2894,Nigeria,2008,1150,28.51,12.04,Tomatoes,68824
51,Angola,1996,1010,24.11,40.0,"Beans, dry",3535
3562,Nigeria,2018,1150,27.16,17.86,"Seed cotton, unginned",7337
1684,Mozambique,2017,1032,21.37,534.78,Soya beans,13158
745,Ethiopia,2009,848,23.33,3699.2,Wheat,18269
3767,South Africa,1991,495,18.86,16582.0,Maize (corn),22573
2317,Nigeria,1999,1150,27.03,26.0,Cocoa beans,3022
3867,South Africa,1994,495,15.1,16582.0,Potatoes,232625
195,Angola,2010,1010,24.44,40.0,Rice,7403
2399,Nigeria,2000,1150,28.5,62.0,Maize (corn),13001
3154,Nigeria,2012,1150,26.87,21.37,Tomatoes,43930
802,Ethiopia,2015,848,23.33,4128.1,Bananas,90367
3552,Nigeria,2018,1150,27.17,17.86,"Seed cotton, unginned",7337
3270,Nigeria,2014,1150,27.17,34.51,Potatoes,37039
4313,South Africa,2007,495,18.98,26857.0,Wheat,30142
3505,Nigeria,2017,1150,27.76,32.76,Wheat,16779
3023,Nigeria,2010,1150,27.79,11.49,Soya beans,12951
3519,Nigeria,2017,1150,29.71,32.76,Maize (corn),16641
4137,South Africa,2001,495,15.68,26857.0,Potatoes,311961
4600,South Africa,2015,495,18.75,26857.0,Tomatoes,706856
644,Ethiopia,1999,848,23.33,492.5,Soya beans,9046
1374,Kenya,2014,630,16.91,1578.0,Bananas,277056
4179,South Africa,2004,495,21.11,26857.0,Bananas,349709
2650,Nigeria,2005,1150,26.94,24.75,Potatoes,29846
120,Angola,2002,1010,24.79,40.0,Soya beans,2857
3164,Nigeria,2012,1150,27.15,21.37,Tomatoes,43930
5410,Uganda,2018,1180,17.23,88.0,Cocoa beans,4787
1859,Nigeria,1993,1150,26.44,62.0,Maize (corn),11848
4377,South Africa,2009,495,18.67,26857.0,Bananas,494407
3265,Nigeria,2014,1150,27.25,34.51,Wheat,13043
2893,Nigeria,2008,1150,28.51,12.04,Soya beans,9704
4624,South Africa,2016,495,14.98,26857.0,Rice,27414
3306,Nigeria,2014,1150,27.36,34.51,Yams,81948
134,Angola,2005,1010,24.41,40.0,Bananas,184615
2907,Nigeria,2009,1150,27.19,7.32,Cocoa beans,2684
2366,Nigeria,2000,1150,26.75,62.0,Yams,98984
511,Congo,2014,1646,24.41,0.87,"Coffee, green",3043
62,Angola,1997,1010,24.06,40.0,Cocoa beans,719
3501,Nigeria,2017,1150,27.76,32.76,Rice,24488
1468,Mozambique,1991,1032,21.77,102.26,Tomatoes,90909
1477,Mozambique,1992,1032,22.6,102.26,Wheat,11111
3074,Nigeria,2011,1150,26.93,10.59,Tomatoes,52062
122,Angola,2002,1010,24.79,40.0,Wheat,15485
3583,Nigeria,2018,1150,27.36,17.86,Soya beans,9285
3404,Nigeria,2016,1150,27.25,47.66,Tomatoes,41479
4357,South Africa,2008,495,15.75,26857.0,Tomatoes,692910
3543,Nigeria,2018,1150,27.25,17.86,Soya beans,9285
567,Congo,2020,1646,24.41,0.87,Potatoes,83386
1907,Nigeria,1993,1150,28.54,62.0,Cocoa beans,4163
5073,Tanzania,2015,1071,26.76,1.0,Rice,16778
864,Ethiopia,2020,848,23.33,4128.1,Soya beans,24903
5187,Uganda,1994,1180,17.55,59.0,Tomatoes,58331
3722,Nigeria,2020,1150,27.36,22.13,"Seed cotton, unginned",7289
2715,Nigeria,2006,1150,27.38,21.12,Wheat,11270
3968,South Africa,1997,495,20.57,21596.0,"Seed cotton, unginned",8510
4290,South Africa,2007,495,21.07,26857.0,Potatoes,330590
720,Ethiopia,2007,848,23.33,2593.9,"Seed cotton, unginned",8843
4245,South Africa,2005,495,16.29,26857.0,Potatoes,333534
3277,Nigeria,2014,1150,27.16,34.51,Cocoa beans,2882
4239,South Africa,2005,495,19.74,26857.0,Soya beans,18167
602,Ethiopia,1995,848,19.99,242.0,Wheat,13106
1345,Kenya,2011,630,16.9,1578.0,Potatoes,191690
3960,South Africa,1996,495,15.23,19508.0,Soya beans,11765
4281,South Africa,2006,495,15.26,26857.0,Potatoes,331650
3716,Nigeria,2020,1150,27.76,22.13,Yams,80724
3195,Nigeria,2013,1150,26.93,27.94,Wheat,10000
4088,South Africa,2000,495,15.13,26857.0,Wheat,25997
318,Congo,1991,1646,24.24,30.0,Yams,41353
2077,Nigeria,1996,1150,26.77,22.0,Cocoa beans,4371
274,Angola,2017,1010,24.55,40.0,Soya beans,9093
4686,South Africa,2018,495,21.31,26857.0,Potatoes,365795
1334,Kenya,2010,630,16.82,1578.0,Potatoes,224279
1335,Kenya,2010,630,16.82,1578.0,Rice,42384
4478,South Africa,2012,495,15.89,26857.0,Maize (corn),44905
1504,Mozambique,1996,1032,21.53,65.85,Maize (corn),9395
4080,South Africa,2000,495,15.13,26857.0,Bananas,215041
4283,South Africa,2006,495,15.26,26857.0,"Seed cotton, unginned",21662
5243,Uganda,2000,1180,16.12,88.0,Potatoes,70294
295,Angola,2019,1010,24.55,40.0,"Seed cotton, unginned",18395
1272,Kenya,2004,630,16.92,1578.0,Tomatoes,144185
1703,Mozambique,2019,1032,21.37,534.78,"Seed cotton, unginned",7757
298,Angola,2019,1010,24.55,40.0,Wheat,8838
68,Angola,1997,1010,24.06,40.0,Tomatoes,36842
736,Ethiopia,2009,848,23.33,3699.2,Bananas,70929
3835,South Africa,1993,495,16.01,16582.0,Tomatoes,292212
4006,South Africa,1998,495,21.22,24304.0,Tomatoes,334372
2488,Nigeria,2002,1150,26.95,29.44,"Coffee, green",12312
150,Angola,2006,1010,24.14,40.0,Potatoes,52148
756,Ethiopia,2010,848,23.33,4128.1,Wheat,18385
3084,Nigeria,2011,1150,27.2,10.59,Tomatoes,52062
2921,Nigeria,2009,1150,27.35,7.32,Rice,19306
3229,Nigeria,2013,1150,27.36,27.94,Maize (corn),14616
3253,Nigeria,2013,1150,27.12,27.94,Soya beans,7617
1780,Nigeria,1991,1150,26.8,62.0,Potatoes,70213
376,Congo,1998,1646,24.99,12.27,"Coffee, green",3703
4013,South Africa,1998,495,16.11,24304.0,"Seed cotton, unginned",10955
859,Ethiopia,2020,848,23.33,4128.1,"Coffee, green",6827
3358,Nigeria,2015,1150,27.76,41.09,"Coffee, green",13045
3718,Nigeria,2020,1150,27.36,22.13,"Coffee, green",12984
378,Congo,1998,1646,24.99,12.27,Potatoes,88526
4940,Tanzania,2004,1071,26.34,1.0,Potatoes,81863
3864,South Africa,1994,495,15.1,16582.0,Bananas,114288
2908,Nigeria,2009,1150,27.19,7.32,"Coffee, green",11333
2692,Nigeria,2005,1150,27.16,24.75,"Seed cotton, unginned",7906
1840,Nigeria,1992,1150,27.87,62.0,Potatoes,70192
3409,Nigeria,2016,1150,27.17,47.66,Maize (corn),17837
841,Ethiopia,2018,848,23.33,4128.1,"Seed cotton, unginned",18590
2145,Nigeria,1997,1150,26.48,34.0,Wheat,26400
1945,Nigeria,1994,1150,26.6,62.0,Wheat,23467
175,Angola,2008,1010,24.27,40.0,Soya beans,8575
1454,Kenya,2020,630,16.91,1578.0,Maize (corn),17741
927,Ghana,1998,1187,27.28,297.78,Maize (corn),14850
3263,Nigeria,2014,1150,27.25,34.51,Soya beans,9855
45,Angola,1995,1010,24.56,336.0,Potatoes,76942
1096,Ghana,2017,1187,27.24,9689.5,Maize (corn),20112
2441,Nigeria,2001,1150,26.33,31.0,Rice,13000
1499,Mozambique,1995,1032,21.89,72.19,"Seed cotton, unginned",5988
4629,South Africa,2016,495,18.75,26857.0,Bananas,569803
2215,Nigeria,1998,1150,27.04,36.0,Wheat,20000
4020,South Africa,1998,495,19.42,24304.0,Potatoes,307667
3819,South Africa,1993,495,21.32,16582.0,Bananas,110389
3668,Nigeria,2019,1150,27.12,22.13,"Coffee, green",12983
5071,Tanzania,2015,1071,26.76,1.0,Maize (corn),15584
283,Angola,2018,1010,24.55,40.0,Rice,11523
4195,South Africa,2004,495,15.49,26857.0,Tomatoes,754247
2067,Nigeria,1996,1150,26.58,22.0,Cocoa beans,4371
2673,Nigeria,2005,1150,27.39,24.75,Soya beans,9401
2829,Nigeria,2007,1150,27.32,30.57,Maize (corn),17049
5231,Uganda,1999,1180,16.12,88.0,"Coffee, green",9159
3692,Nigeria,2020,1150,27.17,22.13,"Seed cotton, unginned",7289
5401,Uganda,2017,1180,17.23,88.0,"Coffee, green",5737
1539,Mozambique,2000,1032,21.51,41.43,"Seed cotton, unginned",3294
5067,Tanzania,2015,1071,26.76,1.0,Bananas,79205
1971,Nigeria,1994,1150,26.84,62.0,Rice,14160
2173,Nigeria,1997,1150,26.66,34.0,Soya beans,6648
3979,South Africa,1997,495,15.38,21596.0,Tomatoes,342183
2998,Nigeria,2010,1150,27.21,11.49,"Coffee, green",12063
1344,Kenya,2011,630,16.9,1578.0,Maize (corn),15840
2195,Nigeria,1997,1150,28.43,34.0,Wheat,26400
4957,Tanzania,2005,1071,26.8,1.0,Wheat,28838
257,Angola,2016,1010,24.55,40.0,Cocoa beans,1620
507,Congo,2013,1646,24.41,0.87,Yams,46193
1720,Nigeria,1991,1150,26.39,62.0,Potatoes,70213
99,Angola,2000,1010,24.41,40.0,Tomatoes,37143
4037,South Africa,1999,495,21.64,26098.8,Maize (corn),22274
4925,Tanzania,2002,1071,26.36,1.0,Cocoa beans,7000
3227,Nigeria,2013,1150,27.36,27.94,Cocoa beans,2960
1456,Kenya,2020,630,16.91,1578.0,Rice,63973
2346,Nigeria,1999,1150,26.74,26.0,Yams,99016
3849,South Africa,1993,495,16.01,16582.0,Potatoes,228678
2641,Nigeria,2005,1150,27.27,24.75,Rice,14302
366,Congo,1997,1646,24.33,13.24,Cocoa beans,3233
2450,Nigeria,2001,1150,26.47,31.0,Potatoes,28255
1534,Mozambique,2000,1032,21.51,41.43,Bananas,64286
4216,South Africa,2005,495,21.14,26857.0,"Beans, dry",14162
2996,Nigeria,2010,1150,27.56,11.49,Yams,130109
949,Ghana,2001,1187,26.76,82.0,"Beans, dry",6158
3615,Nigeria,2019,1150,27.25,22.13,Wheat,16826
19,Angola,1992,1010,23.96,23.0,Wheat,8000
1973,Nigeria,1994,1150,26.84,62.0,Soya beans,3002
668,Ethiopia,2001,848,23.33,630.0,Wheat,13259
218,Angola,2012,1010,24.24,40.0,"Seed cotton, unginned",18333
3555,Nigeria,2018,1150,27.17,17.86,Wheat,17142
2095,Nigeria,1996,1150,26.39,22.0,Wheat,20435
3889,South Africa,1994,495,15.1,16582.0,Tomatoes,296815
4063,South Africa,1999,495,16.09,26098.8,"Beans, dry",11728
4713,South Africa,2018,495,15.89,26857.0,Potatoes,365795
3660,Nigeria,2019,1150,29.71,22.13,Potatoes,37919
777,Ethiopia,2012,848,23.33,4128.1,Tomatoes,76709
4803,Tanzania,1992,1071,26.14,20.0,Bananas,25948
1018,Ghana,2009,1187,27.14,386.16,"Seed cotton, unginned",8000
2277,Nigeria,1999,1150,26.85,26.0,Cocoa beans,3022
2664,Nigeria,2005,1150,27.27,24.75,Tomatoes,81714
3428,Nigeria,2016,1150,27.76,47.66,"Coffee, green",12936
1407,Kenya,2017,630,16.91,1578.0,Bananas,184871
517,Congo,2015,1646,24.41,0.87,Bananas,68208
1595,Mozambique,2008,1032,21.76,890.51,Bananas,76563
2519,Nigeria,2002,1150,26.96,29.44,Maize (corn),14899
2273,Nigeria,1998,1150,27.41,36.0,Soya beans,7364
3450,Nigeria,2016,1150,29.71,47.66,Potatoes,36822
4872,Tanzania,1997,1071,26.19,49.0,Tomatoes,75301
1694,Mozambique,2018,1032,21.37,534.78,Soya beans,13415
4649,South Africa,2017,495,21.31,26857.0,Maize (corn),58596
4832,Tanzania,1994,1071,26.35,715.0,Potatoes,67437
4031,South Africa,1998,495,16.11,24304.0,"Seed cotton, unginned",10955
1052,Ghana,2013,1187,27.24,4398.42,Bananas,108000
2480,Nigeria,2001,1150,26.67,31.0,Potatoes,28255
759,Ethiopia,2011,848,23.33,4128.1,"Beans, dry",8741
3148,Nigeria,2012,1150,26.87,21.37,"Coffee, green",12767
3518,Nigeria,2017,1150,29.71,32.76,"Coffee, green",12983
214,Angola,2012,1010,24.24,40.0,"Coffee, green",3070
1476,Mozambique,1992,1032,22.6,102.26,Tomatoes,90000
2497,Nigeria,2002,1150,26.98,29.44,Cocoa beans,3515
2836,Nigeria,2007,1150,27.32,30.57,Yams,99699
2499,Nigeria,2002,1150,26.98,29.44,Maize (corn),14899
2305,Nigeria,1999,1150,26.65,26.0,Wheat,20120
1702,Mozambique,2019,1032,21.37,534.78,Rice,6661
196,Angola,2010,1010,24.44,40.0,"Seed cotton, unginned",17000
4001,South Africa,1998,495,21.22,24304.0,Maize (corn),21611
4054,South Africa,1999,495,19.27,26098.8,"Beans, dry",11728
5394,Uganda,2016,1180,17.23,88.0,Rice,25640
1056,Ghana,2013,1187,27.24,4398.42,Maize (corn),17240
1789,Nigeria,1992,1150,26.08,62.0,Maize (corn),11181
887,Ghana,1993,1187,26.67,65.8,Maize (corn),15092
2917,Nigeria,2009,1150,27.35,7.32,Cocoa beans,2684
3536,Nigeria,2017,1150,27.12,32.76,Yams,93856
2932,Nigeria,2009,1150,27.03,7.32,"Seed cotton, unginned",9704
568,Congo,2020,1646,24.41,0.87,Rice,5916
3565,Nigeria,2018,1150,27.16,17.86,Wheat,17142
3024,Nigeria,2010,1150,27.79,11.49,Tomatoes,65945
2789,Nigeria,2007,1150,26.99,30.57,Maize (corn),17049
139,Angola,2005,1010,24.41,40.0,Potatoes,23646
2217,Nigeria,1998,1150,27.36,36.0,Cocoa beans,4980
1782,Nigeria,1991,1150,26.8,62.0,"Seed cotton, unginned",4806
1149,Kenya,1992,630,16.34,3469.0,"Seed cotton, unginned",3000
1992,Nigeria,1994,1150,26.69,62.0,"Seed cotton, unginned",5304
2083,Nigeria,1996,1150,26.77,22.0,Soya beans,6414
3715,Nigeria,2020,1150,27.76,22.13,Wheat,11000
463,Congo,2009,1646,24.58,1.66,Bananas,65911
4786,South Africa,2020,495,15.89,26857.0,Rice,28212
2577,Nigeria,2004,1150,26.73,26.31,Cocoa beans,3879
4532,South Africa,2013,495,15.89,26857.0,Maize (corn),42466
594,Ethiopia,1995,848,19.99,242.0,"Beans, dry",3499
5132,Tanzania,2020,1071,26.76,1.0,Potatoes,91262
450,Congo,2007,1646,24.57,3.59,Potatoes,84906
2242,Nigeria,1998,1150,26.93,36.0,"Seed cotton, unginned",7250
3604,Nigeria,2018,1150,27.12,17.86,Tomatoes,40264
3489,Nigeria,2017,1150,27.16,32.76,Maize (corn),16641
